epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1714.3,0.96203,0.77922,0.95832,0.98883,0.97838,0.99407,0.81737,0.71161,0.35964,0.86415,0.00999852,0.00333284,0.00999852,0.00333284,0.00999852,0.00333284,0.00999852,0.00333284
2,3095.46,0.89883,0.50671,0.92496,0.99123,0.98674,0.99456,0.84547,0.65102,0.30192,0.84784,0.019979,0.00665966,0.019979,0.00665966,0.019979,0.00665966,0.019979,0.00665966
3,4251.96,0.89091,0.4989,0.92326,0.99137,0.98649,0.99465,0.85099,0.64432,0.29943,0.84725,0.0298814,0.00996048,0.0298814,0.00996048,0.0298814,0.00996048,0.0298814,0.00996048
4,5410.56,0.87082,0.47843,0.91715,0.99156,0.98059,0.9944,0.84965,0.65069,0.32114,0.85006,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
5,6566.71,0.83787,0.44709,0.90655,0.99166,0.97857,0.9942,0.8505,0.65289,0.331,0.84965,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
6,7735.22,0.82238,0.43268,0.90218,0.99222,0.97755,0.99418,0.83814,0.65026,0.33395,0.84813,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
7,8921.04,0.81378,0.42494,0.90003,0.99268,0.98056,0.99445,0.8344,0.64406,0.32296,0.84523,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
8,10096.1,0.80703,0.41932,0.89799,0.99314,0.98357,0.99467,0.8387,0.63487,0.30691,0.84205,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
9,11282.7,0.80243,0.41438,0.89619,0.99315,0.98625,0.99474,0.84168,0.62725,0.30386,0.83944,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
10,12476.4,0.79686,0.41062,0.8945,0.99354,0.98787,0.99478,0.84358,0.62067,0.28663,0.83756,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
11,13653.8,0.7931,0.40755,0.89408,0.99329,0.98947,0.9948,0.86714,0.61603,0.26999,0.83619,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
12,14841.2,0.79113,0.40577,0.89428,0.99356,0.99046,0.99479,0.86804,0.61191,0.26371,0.83525,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
13,16027.4,0.78669,0.40187,0.89175,0.99306,0.99138,0.99479,0.86841,0.60932,0.25921,0.83463,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
